date,item,average_kg_price
28-10-2019,TOMATE,34.518409090909095
28-10-2019,TOMILLO,110.0
28-10-2019,ZANAHORIA,13.47125
28-10-2019,ZAPALLITO,38.26375
28-10-2019,ZAPALLO,26.333333333333332
15-11-2019,ACELGA,14.943333333333333
15-11-2019,ACHICORIA,11.5
15-11-2019,ACUSAY,22.0
15-11-2019,AJO,108.89000000000001
15-11-2019,ALBAHACA,11.0
15-11-2019,ALCAUCIL,23.125
15-11-2019,APIO,30.625
15-11-2019,ARVEJA,59.625
15-11-2019,BATATA,27.5
15-11-2019,BERENJENA,29.026666666666667
15-11-2019,BERRO,28.0
15-11-2019,BROCOLI,26.0
15-11-2019,BROTE SOJA,90.0
15-11-2019,CEB.VERDEO,51.5
15-11-2019,CEBOLLA,13.583333333333334
15-11-2019,CHAUCHA,72.125
15-11-2019,CHOCLO,24.833333333333332
15-11-2019,CIBOULLE,120.0
15-11-2019,CILANDRO,110.0
15-11-2019,COLIFLOR,14.33
15-11-2019,CURCUMA,57.5
15-11-2019,ENDIBIA,48.0
15-11-2019,ESCAROLA,26.0
15-11-2019,ESPARRAGO,43.5
15-11-2019,ESPINACA,41.0
15-11-2019,HABA,15.0
15-11-2019,HINOJO,13.335
15-11-2019,HONGOS,325.0
15-11-2019,JENGIBRE,92.5
15-11-2019,KALE,70.0
15-11-2019,LECHUGA,27.26388888888889
15-11-2019,MANDIOCA,18.5
15-11-2019,MENTA,110.0
15-11-2019,OREGANO,110.0
15-11-2019,PACK CHOY,36.665
15-11-2019,PAPA,10.1525
15-11-2019,PEPINO,24.25
15-11-2019,PEREJIL,56.25
15-11-2019,PIMIENTO,62.30769230769231
15-11-2019,PUERRO,31.5
15-11-2019,RABANITO,26.0
15-11-2019,RADICCHIO,94.0
15-11-2019,RADICHETA,29.1675
15-11-2019,REMOLACHA,8.0
15-11-2019,REPOLLO,10.445
15-11-2019,ROMERO,110.0
15-11-2019,RUCULA,110.0
15-11-2019,TOMATE,32.964999999999996
15-11-2019,TOMILLO,110.0
15-11-2019,ZANAHORIA,15.593333333333334
15-11-2019,ZAPALLITO,14.215
15-11-2019,ZAPALLO,27.876250000000002
03-01-2019,ACELGA,6.473333333333334
03-01-2019,ACUSAY,14.0
03-01-2019,AJO,81.84625
03-01-2019,ALBAHACA,13.5
03-01-2019,APIO,40.625
03-01-2019,BATATA,26.221666666666664
03-01-2019,BERENJENA,18.75
03-01-2019,BERRO,17.0
03-01-2019,BROCOLI,20.0
03-01-2019,BROTE SOJA,80.0
03-01-2019,CEB.VERDEO,40.0
03-01-2019,CEBOLLA,9.225
03-01-2019,CHAUCHA,21.75
03-01-2019,CHOCLO,14.997499999999999
03-01-2019,CIBOULLE,100.0
03-01-2019,COLIFLOR,6.83
03-01-2019,ESPINACA,35.0
03-01-2019,HINOJO,10.335
03-01-2019,HONGOS,221.66666666666666
03-01-2019,JENGIBRE,85.0
03-01-2019,KALE,45.0
03-01-2019,LECHUGA,28.381428571428575
03-01-2019,MENTA,90.0
03-01-2019,PAPA,11.568
03-01-2019,PEPINO,13.0
03-01-2019,PEREJIL,35.0
03-01-2019,PIMIENTO,30.688
03-01-2019,PUERRO,31.5
03-01-2019,RABANITO,18.125
03-01-2019,RADICHETA,30.4175
03-01-2019,REMOLACHA,6.33
03-01-2019,REPOLLO,8.3325
03-01-2019,RUCULA,105.0
03-01-2019,TOMATE,15.712500000000004
03-01-2019,ZANAHORIA,13.091666666666667
03-01-2019,ZAPALLITO,7.755
03-01-2019,ZAPALLO,17.572142857142858
26-03-2019,ACELGA,13.166666666666666
26-03-2019,ACHICORIA,11.0
26-03-2019,ACUSAY,13.0
26-03-2019,AJO,61.693000000000005
26-03-2019,ALBAHACA,7.0
26-03-2019,APIO,27.5
26-03-2019,ARVEJA,38.5
26-03-2019,BATATA,15.875
26-03-2019,BERENJENA,15.611666666666666
26-03-2019,BERRO,24.0
26-03-2019,BROCOLI,28.0
26-03-2019,BROTE SOJA,60.0
26-03-2019,CEB.VERDEO,53.833333333333336
26-03-2019,CEBOLLA,13.708333333333334
26-03-2019,CHAUCHA,33.0
26-03-2019,CHOCLO,15.670000000000002
26-03-2019,CIBOULLE,160.0
26-03-2019,COLIFLOR,12.33
26-03-2019,CURCUMA,45.0
26-03-2019,ESCAROLA,19.5
26-03-2019,ESPINACA,44.0
26-03-2019,HABA,45.625
26-03-2019,HINOJO,10.33
26-03-2019,HONGOS,217.5
26-03-2019,HOR.PRO.VS,72.5
26-03-2019,JENGIBRE,75.0
26-03-2019,KALE,50.0
26-03-2019,LECHUGA,18.15222222222222
26-03-2019,MANDIOCA,11.125
26-03-2019,OREGANO,155.0
26-03-2019,PACK CHOY,36.665
26-03-2019,PAPA,9.658750000000001
26-03-2019,PEPINO,10.0525
26-03-2019,PEREJIL,38.0
26-03-2019,PIMIENTO,31.4375
26-03-2019,PUERRO,42.5
26-03-2019,RADICCHIO,60.0
26-03-2019,RADICHETA,17.5
26-03-2019,REMOLACHA,15.165
26-03-2019,REPOLLO,8.6675
26-03-2019,ROMERO,160.0
26-03-2019,RUCULA,50.0
26-03-2019,TOMATE,34.64
26-03-2019,TOMILLO,160.0
26-03-2019,ZANAHORIA,10.512142857142859
26-03-2019,ZAP.GRANEL,11.0
26-03-2019,ZAPALLITO,15.278333333333334
26-03-2019,ZAPALLO,11.4175
04-04-2019,ACELGA,12.138333333333334
04-04-2019,ACHICORIA,10.0
04-04-2019,ACUSAY,11.5
04-04-2019,AJO,66.42214285714286
04-04-2019,ALBAHACA,7.0
04-04-2019,APIO,27.5
04-04-2019,ARVEJA,37.0
04-04-2019,BATATA,15.375
04-04-2019,BERENJENA,14.778333333333334
04-04-2019,BERRO,24.0
04-04-2019,BROCOLI,28.0
04-04-2019,BROTE SOJA,60.0
04-04-2019,CEB.VERDEO,51.166666666666664
04-04-2019,CEBOLLA,14.0
04-04-2019,CHAUCHA,33.0
04-04-2019,CHOCLO,16.25
04-04-2019,CIBOULLE,160.0
04-04-2019,COLIFLOR,16.665
04-04-2019,CURCUMA,45.0
04-04-2019,ESCAROLA,19.5
04-04-2019,ESPINACA,43.0
04-04-2019,HABA,45.625
04-04-2019,HINOJO,10.33
04-04-2019,HONGOS,217.5
04-04-2019,HOR.PRO.VS,72.5
04-04-2019,JENGIBRE,75.0
04-04-2019,KALE,50.0
04-04-2019,LECHUGA,16.383888888888887
04-04-2019,MANDIOCA,11.125
04-04-2019,MENTA,150.0
04-04-2019,OREGANO,145.0
04-04-2019,PACK CHOY,36.665
04-04-2019,PAPA,12.169
04-04-2019,PEPINO,8.8625
04-04-2019,PEREJIL,37.0
04-04-2019,PIMIENTO,31.515625
04-04-2019,PUERRO,40.25
04-04-2019,RABANITO,25.0
04-04-2019,RADICCHIO,60.0
04-04-2019,RADICHETA,17.5
04-04-2019,REMOLACHA,14.8325
04-04-2019,REP.BRUSEL,90.0
04-04-2019,REPOLLO,8.8325
04-04-2019,ROMERO,150.0
04-04-2019,RUCULA,50.0
04-04-2019,TOMATE,34.04863636363637
04-04-2019,TOMILLO,150.0
04-04-2019,ZANAHORIA,10.480714285714287
04-04-2019,ZAP.GRANEL,11.0
04-04-2019,ZAPALLITO,11.833
04-04-2019,ZAPALLO,11.08375
11-04-2019,ACELGA,12.0
11-04-2019,ACHICORIA,10.0
11-04-2019,ACUSAY,11.5
11-04-2019,AJO,65.815
11-04-2019,ALBAHACA,7.0
11-04-2019,APIO,27.5
11-04-2019,ARVEJA,37.0
11-04-2019,BATATA,15.375
11-04-2019,BERENJENA,15.693333333333333
11-04-2019,BERRO,23.0
11-04-2019,BROCOLI,28.0
11-04-2019,BROTE SOJA,60.0
11-04-2019,CEB.VERDEO,44.833333333333336
11-04-2019,CEBOLLA,13.444444444444445
11-04-2019,CHAUCHA,26.5
11-04-2019,CHOCLO,17.92
11-04-2019,CIBOULLE,160.0
11-04-2019,COLIFLOR,13.0
11-04-2019,CURCUMA,45.0
11-04-2019,ESCAROLA,17.5
11-04-2019,ESPINACA,41.0
11-04-2019,HABA,45.625
11-04-2019,HINOJO,11.0
11-04-2019,HONGOS,241.66666666666666
11-04-2019,HOR.PRO.VS,72.5
11-04-2019,JENGIBRE,75.0
11-04-2019,KALE,50.0
11-04-2019,LECHUGA,12.819444444444445
11-04-2019,MANDIOCA,11.0
11-04-2019,MENTA,150.0
11-04-2019,OREGANO,145.0
11-04-2019,PACK CHOY,36.665
11-04-2019,PAPA,9.147499999999999
11-04-2019,PEPINO,8.25
11-04-2019,PEREJIL,36.0
11-04-2019,PIMIENTO,37.55555555555556
11-04-2019,PUERRO,38.75
11-04-2019,RABANITO,25.0
11-04-2019,RADICCHIO,60.0
11-04-2019,RADICHETA,19.1675
11-04-2019,REMOLACHA,14.33
11-04-2019,REP.BRUSEL,90.0
11-04-2019,REPOLLO,8.835
11-04-2019,ROMERO,150.0
11-04-2019,RUCULA,50.0
11-04-2019,TOMATE,22.045909090909095
11-04-2019,TOMILLO,150.0
11-04-2019,ZANAHORIA,10.440714285714288
11-04-2019,ZAP.GRANEL,14.25
11-04-2019,ZAPALLITO,6.550833333333333
11-04-2019,ZAPALLO,11.998999999999999
12-07-2019,ACELGA,13.445
12-07-2019,ACHICORIA,13.0
12-07-2019,ACUSAY,12.0
12-07-2019,AJO,133.58083333333335
12-07-2019,ALBAHACA,21.5
12-07-2019,ALCAUCIL,33.125
12-07-2019,APIO,25.0
12-07-2019,ARVEJA,26.04
12-07-2019,BATATA,16.766000000000002
12-07-2019,BERENJENA,38.61333333333334
12-07-2019,BERRO,32.0
12-07-2019,BROCOLI,32.0
12-07-2019,BROTE SOJA,70.0
12-07-2019,CEB.VERDEO,33.75
12-07-2019,CEBOLLA,19.0
12-07-2019,CHAUCHA,45.5
12-07-2019,CHOCLO,50.9975
12-07-2019,CIBOULLE,130.0
12-07-2019,COLIFLOR,15.0
12-07-2019,CURCUMA,47.5
12-07-2019,ESCAROLA,22.5
12-07-2019,ESPINACA,57.0
12-07-2019,HINOJO,10.33
12-07-2019,HONGOS,263.3333333333333
12-07-2019,HOR.PRO.VS,80.0
12-07-2019,JENGIBRE,75.0
12-07-2019,KALE,50.0
12-07-2019,LECHUGA,56.77777777777778
12-07-2019,MANDIOCA,11.625
12-07-2019,MENTA,135.0
12-07-2019,OREGANO,130.0
12-07-2019,PACK CHOY,33.335
12-07-2019,PAPA,10.910833333333334
12-07-2019,PEPINO,32.375
12-07-2019,PEREJIL,29.5
12-07-2019,PIMIENTO,61.25
12-07-2019,PUERRO,36.0
12-07-2019,RABANITO,32.0
12-07-2019,RADICCHIO,86.66499999999999
12-07-2019,RADICHETA,53.332499999999996
12-07-2019,REMOLACHA,10.1675
12-07-2019,REP.BRUSEL,60.0
12-07-2019,REPOLLO,7.3325
12-07-2019,ROMERO,130.0
12-07-2019,RUCULA,155.0
12-07-2019,TOMATE,26.571739130434782
12-07-2019,TOMILLO,135.0
12-07-2019,ZANAHORIA,11.639166666666668
12-07-2019,ZAP.GRANEL,15.0
12-07-2019,ZAPALLITO,19.642857142857142
12-07-2019,ZAPALLO,12.728749999999998
12-11-2019,ACELGA,16.14
12-11-2019,ACHICORIA,11.5
12-11-2019,ACUSAY,22.0
12-11-2019,AJO,104.06875
12-11-2019,ALBAHACA,11.0
12-11-2019,ALCAUCIL,25.0
12-11-2019,APIO,30.625
12-11-2019,ARVEJA,87.5
12-11-2019,BATATA,27.5
12-11-2019,BERENJENA,35.730000000000004
12-11-2019,BERRO,29.0
12-11-2019,BROCOLI,28.0
12-11-2019,BROTE SOJA,90.0
12-11-2019,CEB.VERDEO,60.0
12-11-2019,CEBOLLA,13.416666666666666
12-11-2019,CHAUCHA,83.95833333333333
12-11-2019,CHOCLO,29.1675
12-11-2019,CIBOULLE,120.0
12-11-2019,CILANDRO,110.0
12-11-2019,COLIFLOR,14.665
12-11-2019,CURCUMA,55.0
12-11-2019,ENDIBIA,48.0
12-11-2019,ESCAROLA,26.0
12-11-2019,ESPARRAGO,43.0
12-11-2019,ESPINACA,38.0
12-11-2019,HABA,15.0
12-11-2019,HINOJO,13.665
12-11-2019,HONGOS,325.0
12-11-2019,JENGIBRE,92.5
12-11-2019,KALE,70.0
12-11-2019,LECHUGA,29.291428571428572
12-11-2019,MANDIOCA,18.5
12-11-2019,MENTA,110.0
12-11-2019,OREGANO,110.0
12-11-2019,PACK CHOY,38.33
12-11-2019,PAPA,10.9475
12-11-2019,PEPINO,26.625
12-11-2019,PEREJIL,61.0
12-11-2019,PIMIENTO,62.082307692307694
12-11-2019,PUERRO,31.5
12-11-2019,RABANITO,26.0
12-11-2019,RADICCHIO,94.0
12-11-2019,RADICHETA,32.5
12-11-2019,REMOLACHA,8.6675
12-11-2019,REPOLLO,10.998333333333333
12-11-2019,ROMERO,110.0
12-11-2019,RUCULA,110.0
12-11-2019,TOMATE,30.19479166666666
12-11-2019,TOMILLO,110.0
12-11-2019,ZANAHORIA,16.11
12-11-2019,ZAPALLITO,19.86875
12-11-2019,ZAPALLO,28.501666666666665
04-01-2019,ACELGA,9.471666666666666
04-01-2019,ACUSAY,14.0
04-01-2019,AJO,82.8875
04-01-2019,ALBAHACA,13.5
04-01-2019,APIO,40.625
04-01-2019,ARVEJA,34.25
04-01-2019,BATATA,26.221666666666664
04-01-2019,BERENJENA,18.75
04-01-2019,BERRO,17.0
04-01-2019,BROCOLI,20.0
04-01-2019,BROTE SOJA,80.0
04-01-2019,CEB.VERDEO,37.5
04-01-2019,CEBOLLA,9.225
04-01-2019,CHAUCHA,17.75
04-01-2019,CHOCLO,14.8325
04-01-2019,CIBOULLE,100.0
04-01-2019,COLIFLOR,6.83
04-01-2019,CURCUMA,38.5
04-01-2019,ESPINACA,35.0
04-01-2019,HINOJO,10.0
04-01-2019,HONGOS,221.66666666666666
04-01-2019,JENGIBRE,85.0
04-01-2019,KALE,42.5
04-01-2019,LECHUGA,28.794999999999998
04-01-2019,MENTA,90.0
04-01-2019,PAPA,12.458
04-01-2019,PEPINO,13.0
04-01-2019,PEREJIL,33.75
04-01-2019,PIMIENTO,31.125
04-01-2019,PUERRO,34.0
04-01-2019,RABANITO,18.125
04-01-2019,RADICHETA,31.25
04-01-2019,REMOLACHA,6.33
04-01-2019,REPOLLO,8.3325
04-01-2019,RUCULA,105.0
04-01-2019,TOMATE,15.682500000000003
04-01-2019,ZANAHORIA,13.091666666666667
04-01-2019,ZAPALLITO,7.755
04-01-2019,ZAPALLO,17.572142857142858
26-09-2019,ACELGA,6.611666666666667
26-09-2019,ACHICORIA,10.0
26-09-2019,ACUSAY,10.0
26-09-2019,AJO,132.27375000000004
26-09-2019,ALBAHACA,13.5
26-09-2019,ALCAUCIL,42.5
26-09-2019,APIO,25.625
26-09-2019,BATATA,19.585
26-09-2019,BERENJENA,21.804999999999996
26-09-2019,BERRO,21.0
26-09-2019,BROCOLI,32.0
26-09-2019,BROTE SOJA,80.0
26-09-2019,CARDO,18.75
26-09-2019,CEB.VERDEO,24.0
26-09-2019,CEBOLLA,39.964285714285715
26-09-2019,CHAUCHA,72.79166666666667
26-09-2019,CHOCLO,28.5025
26-09-2019,CIBOULLE,130.0
26-09-2019,COLIFLOR,11.665
26-09-2019,CURCUMA,52.5
26-09-2019,ESCAROLA,14.0
26-09-2019,ESPARRAGO,50.0
26-09-2019,ESPINACA,18.0
26-09-2019,HABA,46.875
26-09-2019,HINOJO,11.335
26-09-2019,HONGOS,333.3333333333333
26-09-2019,JENGIBRE,92.0
26-09-2019,KALE,90.0
